Cell,Formula
BD88,"=IFERROR(IF($C88=""Top WS"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AF88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS SF"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AF88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AF88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""SF WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AF88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BE88,"=IFERROR(IF($C88=""Top WS"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AG88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS SF"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AG88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AG88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""SF WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AG88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BF88,"=IFERROR(IF($C88=""Top WS"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AH88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS SF"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AH88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AH88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""SF WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AH88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BG88,"=IFERROR(IF($C88=""Top WS"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AI88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS SF"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AI88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AI88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""SF WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AI88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BH88,"=IFERROR(IF($C88=""Top WS"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AP88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS SF"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AP88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AP88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""SF WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AP88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BI88,"=IFERROR(IF($C88=""Top WS"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AK88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS SF"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AK88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AK88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""SF WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AK88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BJ88,"=IFERROR(IF($C88=""Top WS"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AL88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS SF"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AL88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AL88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""SF WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AL88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BK88,"=IFERROR(IF($C88=""Top WS"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AM88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS SF"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AM88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""WS WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AM88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C88=""SF WH"",VLOOKUP($B88,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AM88,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BM88,"=VLOOKUP(VLOOKUP(A88,ASTBase!E:S,13,FALSE),ASTBase!F:P,11,FALSE)"
BN88,"=INDEX(AN88:AY88,,Period!$D$2)"
P89,"=SUMIFS(Actual!C:C,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
Q89,"=SUMIFS(Actual!D:D,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
R89,"=SUMIFS(Actual!E:E,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
S89,"=SUMIFS(Actual!F:F,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
T89,"=SUMIFS(Actual!G:G,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
U89,"=SUMIFS(Actual!H:H,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
V89,"=SUMIFS(Actual!I:I,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
W89,"=SUMIFS(Actual!J:J,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
X89,"=SUMIFS(Actual!K:K,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
Y89,"=SUMIFS(Actual!L:L,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
Z89,"=SUMIFS(Actual!M:M,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
AA89,"=SUMIFS(Actual!N:N,Actual!$A:$A,'3)Target & Cal'!$A89,Actual!$B:$B,'3)Target & Cal'!$B89)"
AB89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AB$2,FALSE)=""Shortage"",1,IFERROR(ROUND(P89/D89,4),0)),IFERROR(ROUND(P89/D89,4),0))"
AC89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AC$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Q89/E89,4),0)),IFERROR(ROUND(Q89/E89,4),0))"
AD89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AD$2,FALSE)=""Shortage"",1,IFERROR(ROUND(R89/F89,4),0)),IFERROR(ROUND(R89/F89,4),0))"
AE89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AE$2,FALSE)=""Shortage"",1,IFERROR(ROUND(S89/G89,4),0)),IFERROR(ROUND(S89/G89,4),0))"
AF89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AF$2,FALSE)=""Shortage"",1,IFERROR(ROUND(T89/H89,4),0)),IFERROR(ROUND(T89/H89,4),0))"
AG89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AG$2,FALSE)=""Shortage"",1,IFERROR(ROUND(U89/I89,4),0)),IFERROR(ROUND(U89/I89,4),0))"
AH89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AH$2,FALSE)=""Shortage"",1,IFERROR(ROUND(V89/J89,4),0)),IFERROR(ROUND(V89/J89,4),0))"
AI89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AI$2,FALSE)=""Shortage"",1,IFERROR(ROUND(W89/K89,4),0)),IFERROR(ROUND(W89/K89,4),0))"
AJ89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AP$2,FALSE)=""Shortage"",1,IFERROR(ROUND(X89/L89,4),0)),IFERROR(ROUND(X89/L89,4),0))"
AK89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AK$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Y89/M89,4),0)),IFERROR(ROUND(Y89/M89,4),0))"
AL89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AL$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Z89/N89,4),0)),IFERROR(ROUND(Z89/N89,4),0))"
AM89,"=IFERROR(IF(VLOOKUP($B89,Shortage!$A:$M,AM$2,FALSE)=""Shortage"",1,IFERROR(ROUND(AA89/O89,4),0)),IFERROR(ROUND(AA89/O89,4),0))"
AN89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AB89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AB89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AB89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AB89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AO89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AC89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AC89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AC89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AC89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AP89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AD89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AD89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AD89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AD89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AQ89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AE89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AE89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AE89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AE89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AR89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AF89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AF89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AF89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AF89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AS89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AG89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AG89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AG89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AG89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AT89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AH89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AH89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AH89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AH89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AU89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AI89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AI89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AI89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AI89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AV89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AP89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AP89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AP89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AP89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AW89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AK89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AK89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AK89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AK89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AX89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AL89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AL89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AL89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AL89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AY89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AM89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AM89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AM89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AM89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AZ89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AB89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AB89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AB89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AB89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BA89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AC89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AC89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AC89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AC89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BB89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AD89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AD89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AD89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AD89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BC89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AE89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AE89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AE89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AE89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BD89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AF89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AF89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AF89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AF89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BE89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AG89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AG89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AG89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AG89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BF89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AH89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AH89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AH89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AH89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BG89,"=IFERROR(IF($C89=""Top WS"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AI89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS SF"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AI89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""WS WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AI89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C89=""SF WH"",VLOOKUP($B89,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AI89,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
